# r	g(r)
1.6189368742	0.0008589684
1.6272604571	0.0003471710
1.6355840400	0.0007040932
1.6439076229	0.0001718277
1.6522312058	0.0011967343
1.6605547887	0.0006935053
1.6688783716	0.0018097445
1.6772019545	0.0002202372
1.6855255374	0.0009539454
1.6938491203	0.0006798738
1.7021727032	0.0005744286
1.7104962861	0.0005843363
1.7188198690	0.0013526348
1.7271434519	0.0009687004
1.7354670348	0.0013647003
1.7437906177	0.0012834237
1.7521142006	0.0008928885
1.7604377835	0.0019624726
1.7687613664	0.0028131532
1.7770849493	0.0063824800
1.7854085322	0.0074115124
1.7937321151	0.0090972369
1.8020556980	0.0121901794
1.8103792809	0.0156027422
1.8187028638	0.0222934375
1.8270264467	0.0202533545
1.8353500296	0.0291353246
1.8436736125	0.0480607265
1.8519971954	0.0735856067
1.8603207783	0.0943035536
1.8686443612	0.0834649139
1.8769679441	0.1155431891
1.8852915270	0.3061555283
1.8936151099	0.2173393400
1.9019386928	0.2714077434
1.9102622757	0.4234971742
1.9185858586	0.4508335936
1.9269094415	0.6461082828
1.9352330244	0.7724824726
1.9435566073	0.8279011344
1.9518801902	0.9805417534
1.9602037731	1.1230847694
1.9685273560	1.3436964068
1.9768509389	1.4992276981
1.9851745218	1.5854952527
1.9934981047	1.7068912577
2.0018216876	2.0925893502
2.0101452705	2.2773577585
2.0184688534	2.3394231922
2.0267924363	2.1528619770
2.0351160192	2.3506727599
2.0434396021	2.5026271658
2.0517631850	2.6736181206
2.0600867679	2.6468891877
2.0684103508	2.7663719815
2.0767339337	2.7335531643
2.0850575166	2.7827699069
2.0933810995	2.3944082897
2.1017046824	2.4665268754
2.1100282653	2.2442428255
2.1183518482	2.1219388615
2.1266754311	1.9823854666
2.1349990140	1.9712271427
2.1433225969	1.9077030048
2.1516461798	1.7106634324
2.1599697627	1.4279863427
2.1682933456	1.2565075092
2.1766169285	1.3110093376
2.1849405114	1.2665548241
2.1932640943	1.1980866534
2.2015876772	1.0324290475
